Rxn-Species-ids	Velocity(m/s)	Density	Pressure(Pa)	CH2CH2	CH3CH3	CH4	CHCH	H2	N2	CH2CH3(S)	CH3(S)	H(S)	CH2(S)	CHCH3(S)	CH2CH2(S)	CH(S)	CCH3(S)	CHCH2(S)	C(S)	CCH2(S)	CHCH(S)	CCH(S)	CC(S)	CH4(S)	PT(S)
0016	-1.517299e-04	1.517298e-04	5.893125e-12	-1.488740e-01	2.268206e-03	-1.800016e-01	2.091742e-02	-1.255469e-01	-2.646931e-16	5.303416e-04	-5.651173e-02	-8.332303e-02	-7.283916e-02	-1.275882e-01	-1.697486e-01	-1.070592e-02	-6.547386e-02	-6.552239e-02	5.142449e-02	-3.348826e-03	-2.386972e-04	6.190785e-02	1.240383e-01	-2.009266e-01	-2.118929e-02
0017	-1.382622e-08	1.382621e-08	5.370049e-16	-1.438566e-05	1.589221e-07	2.409622e-04	7.216344e-06	-1.456712e-05	-1.790036e-17	-7.222365e-06	1.153648e-04	-1.218643e-05	-8.548810e-06	-1.330069e-05	-1.932263e-05	-1.325373e-06	-6.076503e-06	-6.079167e-06	5.899042e-06	1.148600e-06	2.271782e-06	9.534980e-06	1.675940e-05	2.357755e-04	-4.961317e-06
0018	3.183028e-04	-3.183029e-04	-1.236275e-11	3.067999e-01	-4.695111e-03	2.753481e-01	-8.117746e-03	2.646176e-01	1.165481e-15	-6.789052e-01	1.157904e-01	1.587127e-01	1.544492e-01	2.806323e-01	3.330902e-01	2.236086e-02	1.486881e-01	1.492070e-01	-1.097243e-01	1.670602e-02	1.814725e-02	-1.139865e-01	-2.460717e-01	3.016012e-01	2.662301e-02
0019	-1.045735e-04	1.045735e-04	4.061592e-12	-1.079783e-01	1.606251e-03	-1.349915e-01	4.927982e-02	-8.639523e-02	-1.397455e-15	-4.415140e-02	-3.567507e-02	-7.611301e-02	-5.141237e-02	-6.879720e-02	-1.411957e-01	-8.724997e-03	-2.626457e-02	-2.688444e-02	3.396233e-02	1.629599e-02	1.595466e-02	5.866251e-02	1.013498e-01	-1.682067e-01	-3.342518e-02
0020	1.847893e-07	-1.847893e-07	-7.177142e-15	2.672113e-04	-7.464129e-06	1.953341e-02	-5.828348e-04	-8.166833e-05	5.530727e-17	3.045035e-04	-9.289093e-01	2.539006e-04	-3.852347e-05	-3.161345e-04	5.646905e-04	5.813827e-06	-2.720270e-04	-2.672465e-04	5.061920e-05	-2.268857e-04	-2.847502e-04	-2.416597e-04	-1.968548e-04	1.982419e-02	2.980930e-04
0021	4.547061e-06	-4.547061e-06	-1.766060e-13	8.605607e-03	-2.334235e-04	6.445582e-01	-2.751604e-02	-4.000219e-03	-2.338675e-17	1.421439e-02	6.593866e-01	1.162677e-02	-2.254026e-03	-1.151610e-02	2.236208e-02	-9.830850e-05	-9.373376e-03	-9.375386e-03	2.050020e-03	-7.230529e-03	-1.376265e-02	-1.182167e-02	-9.673368e-03	6.583486e-01	1.377341e-02
0022	1.156777e-11	-1.160599e-11	-4.493263e-19	1.007886e-08	-1.600381e-10	2.103273e-08	2.545420e-09	8.927544e-09	-4.962375e-17	-4.048658e-09	4.132436e-09	1.903936e-09	5.148616e-09	8.827623e-09	7.525742e-09	7.378266e-10	4.419224e-09	4.413078e-09	-2.942623e-09	8.000993e-12	1.177655e-11	5.121662e-10	-3.376058e-09	1.847116e-08	-2.507009e-09
0023	9.756794e-08	-9.756784e-08	-3.789499e-15	9.063362e-05	-1.436575e-06	1.951070e-04	1.962230e-05	7.976690e-05	-8.285445e-17	-5.788279e-05	3.256400e-05	-4.696346e-06	5.080792e-05	5.763237e-05	4.628612e-05	1.140327e-05	1.824097e-05	1.807388e-05	-2.803969e-05	-2.115808e-05	-2.470793e-05	2.746811e-05	-1.197408e-05	1.506865e-04	-4.410530e-05
0024	7.193626e-08	-7.193621e-08	-2.793975e-15	6.860983e-05	-1.031774e-06	-5.132889e-05	2.884477e-06	6.118304e-05	6.190418e-18	1.253816e-05	-2.274812e-05	5.331830e-05	5.447263e-05	-1.179840e-04	9.153809e-05	2.421629e-05	-1.482956e-04	6.963188e-05	-6.132357e-06	-1.786046e-04	2.582543e-05	-4.970026e-06	-3.531781e-05	-2.824370e-05	2.305311e-05
0025	-7.120615e-08	7.120610e-08	2.765617e-15	-7.434916e-05	1.108734e-06	-1.337231e-04	3.891183e-05	-5.831970e-05	-1.218149e-16	-1.193442e-05	-3.499094e-05	-5.095108e-05	-3.090494e-05	-8.245648e-05	-9.628461e-05	-2.056523e-06	-5.359378e-05	-5.372386e-05	2.679882e-05	-2.472588e-05	1.680809e-05	4.681979e-05	7.567532e-05	-1.556015e-04	-2.207769e-05
0026	-1.657846e-05	1.657846e-05	6.439004e-13	-1.742162e-02	2.590156e-04	-3.128211e-02	9.781003e-03	-1.357657e-02	1.548847e-16	-2.986612e-03	-8.165878e-03	-1.207129e-02	-7.195273e-03	-1.919336e-02	-2.273738e-02	-4.725610e-04	-1.247349e-02	-1.250415e-02	6.245492e-03	-5.752407e-03	4.423504e-03	1.112185e-02	1.783994e-02	-3.658440e-02	-5.348959e-03
0027	-4.693331e-11	4.697580e-11	1.822914e-18	-4.736639e-08	8.937301e-10	-9.311065e-07	1.627158e-08	-2.803225e-08	-4.867696e-17	-1.782783e-08	-4.208054e-07	-3.149261e-08	-2.332979e-08	-1.507605e-04	-6.500586e-08	-9.575222e-09	6.234271e-08	-1.514445e-08	4.209296e-09	6.020917e-08	-1.419430e-09	1.236852e-08	2.615297e-08	-9.478981e-07	-1.773665e-08
0028	5.091108e-09	-5.091099e-09	-1.977366e-16	1.586144e-05	-6.450503e-07	2.326194e-03	-7.120969e-05	-2.396601e-05	-3.357704e-17	4.165277e-05	2.569839e-03	2.587963e-05	-9.341742e-06	-8.923694e-05	5.418843e-05	3.160010e-06	-7.612235e-05	-7.363986e-05	1.564428e-05	-6.309790e-05	-3.286327e-05	-1.957637e-05	-7.091958e-06	2.364983e-03	3.838052e-05
0029	4.418869e-11	-4.410093e-11	-1.716208e-18	4.318519e-08	-6.440513e-10	-5.493561e-08	1.273616e-09	3.871219e-08	-3.814115e-17	1.424939e-08	-3.448529e-08	4.005248e-08	4.046383e-08	-2.019856e-07	6.401245e-08	2.131748e-08	-1.682301e-07	5.239936e-08	2.093689e-09	-1.421424e-07	2.209932e-08	2.511731e-09	-1.671195e-08	-3.401211e-08	2.089912e-08
