z(m),CH2CH3(S),CH3(S),H(S),CH2(S),CHCH3(S),CH2CH2(S),CH(S),CCH3(S),CHCH2(S),C(S),CCH2(S),CHCH(S),CCH(S),CC(S),CH4(S),PT(S)
9.550000e-05, 7.439556e-08, 1.205158e-09, 6.756372e-04, 4.337528e-07, 5.894486e-10, 2.120267e-08, 4.964912e-01, 1.306565e-02, 5.773315e-07, 4.097144e-01, 1.698607e-02, 5.359932e-04, 6.844487e-05, 6.391894e-06, 3.988777e-10, 6.245515e-02
1.000000e-04, 7.390702e-08, 1.235970e-09, 6.829777e-04, 4.451334e-07, 6.119419e-10, 2.164592e-08, 4.967331e-01, 1.317277e-02, 5.900619e-07, 4.092465e-01, 1.705023e-02, 5.440804e-04, 6.987549e-05, 6.520398e-06, 4.380009e-10, 6.249286e-02
1.450000e-04, 7.036183e-08, 1.546691e-09, 7.548533e-04, 5.567564e-07, 8.395688e-10, 2.591266e-08, 4.964856e-01, 1.393249e-02, 7.077743e-07, 4.071176e-01, 1.749594e-02, 6.119980e-04, 8.371805e-05, 7.836537e-06, 9.915259e-10, 6.350864e-02
1.900000e-04, 6.796450e-08, 1.874356e-09, 8.233247e-04, 6.678271e-07, 1.080894e-09, 3.001577e-08, 4.946617e-01, 1.444559e-02, 8.172879e-07, 4.066258e-01, 1.779156e-02, 6.674180e-04, 9.700642e-05, 9.164324e-06, 1.930852e-09, 6.487689e-02
2.350000e-04, 6.591900e-08, 2.227827e-09, 8.871898e-04, 7.798343e-07, 1.343995e-09, 3.401407e-08, 4.932967e-01, 1.494397e-02, 9.259537e-07, 4.058803e-01, 1.808570e-02, 7.184409e-04, 1.097826e-04, 1.044014e-05, 3.391061e-09, 6.606574e-02
2.800000e-04, 6.394109e-08, 2.609435e-09, 9.452329e-04, 8.922820e-07, 1.633946e-09, 3.789854e-08, 4.931264e-01, 1.553385e-02, 1.037632e-06, 4.041848e-01, 1.844453e-02, 7.688391e-04, 1.218852e-04, 1.160113e-05, 5.492918e-09, 6.686075e-02
3.250000e-04, 6.191524e-08, 3.016441e-09, 9.963341e-04, 1.003843e-06, 1.954633e-09, 4.164077e-08, 4.944579e-01, 1.627834e-02, 1.154852e-06, 4.012334e-01, 1.890413e-02, 8.207556e-04, 1.330778e-04, 1.258751e-05, 8.310783e-09, 6.716121e-02
3.700000e-04, 5.978970e-08, 3.441139e-09, 1.039493e-03, 1.112821e-06, 2.309773e-09, 4.520968e-08, 4.974365e-01, 1.722883e-02, 1.279700e-06, 3.968550e-01, 1.948980e-02, 8.756866e-04, 1.430973e-04, 1.334573e-05, 1.183925e-08, 6.691571e-02
4.150000e-04, 5.753776e-08, 3.870948e-09, 1.073840e-03, 1.217381e-06, 2.703634e-09, 4.857824e-08, 5.021425e-01, 1.843970e-02, 1.414270e-06, 3.909188e-01, 2.022421e-02, 9.348988e-04, 1.516771e-04, 1.383151e-05, 1.596720e-08, 6.609775e-02
4.600000e-04, 5.514172e-08, 4.289087e-09, 1.098636e-03, 1.315678e-06, 3.141667e-09, 5.172603e-08, 5.086270e-01, 1.997766e-02, 1.560916e-06, 3.832945e-01, 2.113140e-02, 9.996295e-04, 1.585598e-04, 1.401267e-05, 2.046800e-08, 6.469559e-02
