Reaction ID,LSA-Mass-Frac,LSA-rate,Reaction names
1,0.48565957996829906,0.48181637899345053,CH3CH3 + 2 * <--> CH2CH3* + H*
11,0.34197851256058814,0.3198242587174062,CCH3* + * <--> C* + CH3*
17,0.0002450419763036502,9.926700366596453e-05,CH2CH3* + * <--> CH2* + CH3*
18,0.26750782793400024,0.26692553906709415,CH2CH3* + * <--> CH2CH2* + H*
19,-0.12747729820722345,-0.10334572076542482,CH2CH3* + * <--> CHCH3* + H*
20,0.01964126637555512,0.015704084122044278,CH4* + * <--> CH3* + H*
21,0.6445065743941012,0.6708060316136727,CH3* + * <--> CH2* + H*
28,0.0023266308107769825,0.002610870059976102,CHCH3* + * <--> CH* + CH3*
