t(s),N2,NH3,H2
8.65000000e-05,6.04406088e-01,1.68609689e-01,2.26984223e-01
9.10000000e-05,6.04406897e-01,1.68609309e-01,2.26983793e-01
9.55000000e-05,6.04407706e-01,1.68608930e-01,2.26983364e-01
1.00000000e-04,6.04408515e-01,1.68608551e-01,2.26982934e-01
1.45000000e-04,6.04416606e-01,1.68604758e-01,2.26978636e-01
1.90000000e-04,6.04424697e-01,1.68600964e-01,2.26974339e-01
2.35000000e-04,6.04432787e-01,1.68597171e-01,2.26970041e-01
2.80000000e-04,6.04440864e-01,1.68593385e-01,2.26965751e-01
3.25000000e-04,6.04448941e-01,1.68589598e-01,2.26961461e-01
3.70000000e-04,6.04457017e-01,1.68585811e-01,2.26957171e-01
4.15000000e-04,6.04465094e-01,1.68582025e-01,2.26952881e-01
4.60000000e-04,6.04473171e-01,1.68578238e-01,2.26948591e-01
5.05000000e-04,6.04481248e-01,1.68574451e-01,2.26944301e-01
5.50000000e-04,6.04489324e-01,1.68570664e-01,2.26940011e-01
5.95000000e-04,6.04497401e-01,1.68566878e-01,2.26935721e-01
6.40000000e-04,6.04505478e-01,1.68563091e-01,2.26931431e-01
6.85000000e-04,6.04513555e-01,1.68559304e-01,2.26927141e-01
7.30000000e-04,6.04521632e-01,1.68555518e-01,2.26922851e-01
7.75000000e-04,6.04529708e-01,1.68551731e-01,2.26918561e-01
8.20000000e-04,6.04537785e-01,1.68547944e-01,2.26914271e-01
8.65000000e-04,6.04545862e-01,1.68544157e-01,2.26909981e-01
9.10000000e-04,6.04553939e-01,1.68540371e-01,2.26905691e-01
9.55000000e-04,6.04562015e-01,1.68536584e-01,2.26901401e-01
1.00000000e-03,6.04570092e-01,1.68532797e-01,2.26897111e-01
1.45000000e-03,6.04650860e-01,1.68494930e-01,2.26854210e-01
1.90000000e-03,6.04731323e-01,1.68457203e-01,2.26811474e-01
2.35000000e-03,6.04811741e-01,1.68419495e-01,2.26768763e-01
2.80000000e-03,6.04892160e-01,1.68381788e-01,2.26726052e-01
3.25000000e-03,6.04972578e-01,1.68344081e-01,2.26683341e-01
3.70000000e-03,6.05052997e-01,1.68306374e-01,2.26640629e-01
4.15000000e-03,6.05133415e-01,1.68268667e-01,2.26597918e-01
4.60000000e-03,6.05213833e-01,1.68230960e-01,2.26555207e-01
5.05000000e-03,6.05294008e-01,1.68193363e-01,2.26512628e-01
5.50000000e-03,6.05374017e-01,1.68155843e-01,2.26470140e-01
5.95000000e-03,6.05454026e-01,1.68118322e-01,2.26427652e-01
6.40000000e-03,6.05534035e-01,1.68080801e-01,2.26385164e-01
6.85000000e-03,6.05614044e-01,1.68043280e-01,2.26342676e-01
7.30000000e-03,6.05694053e-01,1.68005759e-01,2.26300188e-01
7.75000000e-03,6.05774062e-01,1.67968239e-01,2.26257700e-01
8.20000000e-03,6.05854005e-01,1.67930747e-01,2.26215248e-01
8.65000000e-03,6.05933788e-01,1.67893327e-01,2.26172884e-01
9.10000000e-03,6.06013544e-01,1.67855920e-01,2.26130535e-01
9.55000000e-03,6.06093271e-01,1.67818526e-01,2.26088202e-01
1.00000000e-02,6.06172971e-01,1.67781144e-01,2.26045885e-01
1.45000000e-02,6.06968421e-01,1.67408018e-01,2.25623561e-01
1.90000000e-02,6.07758586e-01,1.67037290e-01,2.25204124e-01
2.35000000e-02,6.08544540e-01,1.66668465e-01,2.24786995e-01
2.80000000e-02,6.09327020e-01,1.66301203e-01,2.24371776e-01
3.25000000e-02,6.10104327e-01,1.65936296e-01,2.23959377e-01
3.70000000e-02,6.10877449e-01,1.65573286e-01,2.23549264e-01
4.15000000e-02,6.11646603e-01,1.65212078e-01,2.23141319e-01
4.60000000e-02,6.12410131e-01,1.64853441e-01,2.22736427e-01
5.05000000e-02,6.13169925e-01,1.64496501e-01,2.22333574e-01
5.50000000e-02,6.13925661e-01,1.64141409e-01,2.21932930e-01
5.95000000e-02,6.14674649e-01,1.63789415e-01,2.21535936e-01
6.40000000e-02,6.15422119e-01,1.63438093e-01,2.21139788e-01
6.85000000e-02,6.16165935e-01,1.63088434e-01,2.20745631e-01
7.30000000e-02,6.16901805e-01,1.62742424e-01,2.20355771e-01
7.75000000e-02,6.17635794e-01,1.62397277e-01,2.19966929e-01
8.20000000e-02,6.18365578e-01,1.62054052e-01,2.19580366e-01
8.65000000e-02,6.19089671e-01,1.61713427e-01,2.19196888e-01
9.10000000e-02,6.19809333e-01,1.61374867e-01,2.18815807e-01
9.55000000e-02,6.20524423e-01,1.61038408e-01,2.18437192e-01
1.00000000e-01,6.21234946e-01,1.60704044e-01,2.18061038e-01
1.45000000e-01,6.28117719e-01,1.57463310e-01,2.14420022e-01
1.90000000e-01,6.34592836e-01,1.54410916e-01,2.10997838e-01
2.35000000e-01,6.40681628e-01,1.51537946e-01,2.07782180e-01
2.80000000e-01,6.46406889e-01,1.48834658e-01,2.04760312e-01
3.25000000e-01,6.51789709e-01,1.46291823e-01,2.01920417e-01
3.70000000e-01,6.56847260e-01,1.43901347e-01,1.99252415e-01
4.15000000e-01,6.61582268e-01,1.41659584e-01,1.96751838e-01
4.60000000e-01,6.65991819e-01,1.39568909e-01,1.94420482e-01
5.05000000e-01,6.70074513e-01,1.37630100e-01,1.92258562e-01
5.50000000e-01,6.73828436e-01,1.35844733e-01,1.90267277e-01
5.95000000e-01,6.77354979e-01,1.34169807e-01,1.88397852e-01
6.40000000e-01,6.80849151e-01,1.32521650e-01,1.86556122e-01
6.85000000e-01,6.84138301e-01,1.30970678e-01,1.84821833e-01
7.30000000e-01,6.87236620e-01,1.29511385e-01,1.83188562e-01
7.75000000e-01,6.90150739e-01,1.28139878e-01,1.81652061e-01
8.20000000e-01,6.92867416e-01,1.26861288e-01,1.80218117e-01
8.65000000e-01,6.95419519e-01,1.25661336e-01,1.78870726e-01
9.10000000e-01,6.97820144e-01,1.24533329e-01,1.77602556e-01
9.55000000e-01,7.00069346e-01,1.23478928e-01,1.76415166e-01
1.00000000e+00,7.02168046e-01,1.22497703e-01,1.75308096e-01
1.45000000e+00,7.16976996e-01,1.15590928e-01,1.67442795e-01
1.90000000e+00,7.24878203e-01,1.11949744e-01,1.63182190e-01
2.35000000e+00,7.29002147e-01,1.10107595e-01,1.60910678e-01
2.80000000e+00,7.31073284e-01,1.09228711e-01,1.59708028e-01
3.25000000e+00,7.32130445e-01,1.08835745e-01,1.59043638e-01
3.70000000e+00,7.32596966e-01,1.08721290e-01,1.58688568e-01
4.00000000e+00,7.32738110e-01,1.08725487e-01,1.58541366e-01
