t(s),N2,NH3,H2
8.65000000e-05,1.49758035e-01,6.87193123e-02,7.81522653e-01
9.10000000e-05,1.49758450e-01,6.87192562e-02,7.81522294e-01
9.55000000e-05,1.49758865e-01,6.87192001e-02,7.81521935e-01
1.00000000e-04,1.49759280e-01,6.87191441e-02,7.81521576e-01
1.45000000e-04,1.49763432e-01,6.87185834e-02,7.81517984e-01
1.90000000e-04,1.49767585e-01,6.87180227e-02,7.81514393e-01
2.35000000e-04,1.49771737e-01,6.87174620e-02,7.81510801e-01
2.80000000e-04,1.49775882e-01,6.87169022e-02,7.81507216e-01
3.25000000e-04,1.49780027e-01,6.87163423e-02,7.81503631e-01
3.70000000e-04,1.49784173e-01,6.87157825e-02,7.81500045e-01
4.15000000e-04,1.49788318e-01,6.87152226e-02,7.81496459e-01
4.60000000e-04,1.49792464e-01,6.87146628e-02,7.81492873e-01
5.05000000e-04,1.49796610e-01,6.87141029e-02,7.81489288e-01
5.50000000e-04,1.49800755e-01,6.87135430e-02,7.81485702e-01
5.95000000e-04,1.49804901e-01,6.87129831e-02,7.81482115e-01
6.40000000e-04,1.49809048e-01,6.87124231e-02,7.81478529e-01
6.85000000e-04,1.49813194e-01,6.87118632e-02,7.81474943e-01
7.30000000e-04,1.49817340e-01,6.87113032e-02,7.81471357e-01
7.75000000e-04,1.49821487e-01,6.87107432e-02,7.81467770e-01
8.20000000e-04,1.49825633e-01,6.87101832e-02,7.81464183e-01
8.65000000e-04,1.49829780e-01,6.87096232e-02,7.81460597e-01
9.10000000e-04,1.49833927e-01,6.87090632e-02,7.81457010e-01
9.55000000e-04,1.49838074e-01,6.87085031e-02,7.81453423e-01
1.00000000e-03,1.49842221e-01,6.87079431e-02,7.81449836e-01
1.45000000e-03,1.49883698e-01,6.87023415e-02,7.81413960e-01
1.90000000e-03,1.49925030e-01,6.86967575e-02,7.81378213e-01
2.35000000e-03,1.49966350e-01,6.86911747e-02,7.81342476e-01
2.80000000e-03,1.50007681e-01,6.86855904e-02,7.81306728e-01
3.25000000e-03,1.50049025e-01,6.86800044e-02,7.81270971e-01
3.70000000e-03,1.50090380e-01,6.86744168e-02,7.81235203e-01
4.15000000e-03,1.50131747e-01,6.86688277e-02,7.81199425e-01
4.60000000e-03,1.50173126e-01,6.86632369e-02,7.81163637e-01
5.05000000e-03,1.50214390e-01,6.86576594e-02,7.81127951e-01
5.50000000e-03,1.50255579e-01,6.86520904e-02,7.81092331e-01
5.95000000e-03,1.50296779e-01,6.86465198e-02,7.81056701e-01
6.40000000e-03,1.50337992e-01,6.86409477e-02,7.81021061e-01
6.85000000e-03,1.50379216e-01,6.86353739e-02,7.80985410e-01
7.30000000e-03,1.50420452e-01,6.86297986e-02,7.80949750e-01
7.75000000e-03,1.50461699e-01,6.86242217e-02,7.80914079e-01
8.20000000e-03,1.50502924e-01,6.86186470e-02,7.80878429e-01
8.65000000e-03,1.50544077e-01,6.86130798e-02,7.80842843e-01
9.10000000e-03,1.50585226e-01,6.86075127e-02,7.80807261e-01
9.55000000e-03,1.50626373e-01,6.86019456e-02,7.80771681e-01
1.00000000e-02,1.50667516e-01,6.85963786e-02,7.80736105e-01
1.45000000e-02,1.51078779e-01,6.85407102e-02,7.80380511e-01
1.90000000e-02,1.51488426e-01,6.84852048e-02,7.80026369e-01
2.35000000e-02,1.51897001e-01,6.84297952e-02,7.79673204e-01
2.80000000e-02,1.52304880e-01,6.83744347e-02,7.79320685e-01
3.25000000e-02,1.52711157e-01,6.83192404e-02,7.78969602e-01
3.70000000e-02,1.53116338e-01,6.82641497e-02,7.78619512e-01
4.15000000e-02,1.53520525e-01,6.82091516e-02,7.78270324e-01
4.60000000e-02,1.53922826e-01,6.81543616e-02,7.77922813e-01
5.05000000e-02,1.54324228e-01,6.80996544e-02,7.77576118e-01
5.50000000e-02,1.54724548e-01,6.80450546e-02,7.77230398e-01
5.95000000e-02,1.55122333e-01,6.79907502e-02,7.76886916e-01
6.40000000e-02,1.55520365e-01,6.79363841e-02,7.76543251e-01
6.85000000e-02,1.55917491e-01,6.78821032e-02,7.76200406e-01
7.30000000e-02,1.56311384e-01,6.78282050e-02,7.75860411e-01
7.75000000e-02,1.56705305e-01,6.77742875e-02,7.75520408e-01
8.20000000e-02,1.57097984e-01,6.77205030e-02,7.75181513e-01
8.65000000e-02,1.57488595e-01,6.76669507e-02,7.74844455e-01
9.10000000e-02,1.57877806e-01,6.76135662e-02,7.74508628e-01
