t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
1.90000000e-07,1.78443291e-06,3.00810735e-02,-1.93273503e-02,4.39921222e-09,-2.12655361e-05,-1.87855491e-04,-1.05463911e-02,3.61441277e-04,-7.35024894e-04,-2.49511219e-04,5.21140431e-07,5.86860173e-05,5.24005853e-05,5.11487093e-04
2.35000000e-07,3.86041022e-05,2.70766059e-02,-5.27346610e-03,8.18278363e-07,-1.58377000e-04,-7.48768527e-03,-1.41964999e-02,-8.28056419e-04,2.03690927e-03,3.46084195e-04,-1.40188744e-07,-6.62872927e-05,-2.60376835e-04,-1.22813273e-03
2.80000000e-07,3.94603500e-04,2.87920817e-02,1.25433591e-02,2.51992990e-05,-4.31693543e-03,-1.26324670e-02,-2.48058412e-02,-2.19923022e-05,8.51491259e-05,-5.96959433e-06,7.74118137e-08,-7.19343546e-06,-4.90019465e-06,-4.51710111e-05
3.25000000e-07,3.27023349e-06,8.56947705e-03,-5.18947599e-03,-2.50088976e-08,-1.75256821e-05,-4.40825090e-04,-2.92489552e-03,4.07260664e-07,1.35189580e-05,-9.20029454e-06,1.43741020e-09,-6.09827840e-08,-7.60179192e-07,-3.90619961e-06
3.70000000e-07,-1.08709623e-05,4.40696405e-03,-4.49601404e-03,9.36408259e-08,6.74151827e-05,7.10297115e-04,-6.77884981e-04,-3.83858679e-06,8.56223538e-06,-2.51850426e-06,-6.67354254e-09,-1.48841687e-07,2.61335385e-06,-4.66298294e-06
4.15000000e-07,-8.38015377e-06,2.39773903e-03,-3.24779229e-03,6.46740269e-08,5.98789307e-05,8.11981706e-04,-1.34919003e-05,-1.43347611e-06,-2.13768516e-06,4.12122812e-06,-8.48912288e-11,3.61434742e-07,1.33396677e-06,-2.24538347e-06
4.60000000e-07,-2.53790614e-06,1.56480651e-03,-1.92171666e-03,-5.32571282e-09,1.18649309e-05,4.55665572e-04,-1.08077120e-04,-2.00780521e-08,-8.44866895e-06,8.90374104e-06,1.54395279e-09,4.52562104e-07,4.23860885e-07,-1.31296098e-06
5.05000000e-07,-2.46579532e-05,-3.09298672e-03,-5.38251614e-03,-2.08074972e-08,1.20390093e-04,4.26570206e-03,4.11408948e-03,-6.27457905e-07,-1.05261953e-05,1.01985645e-05,6.57134230e-09,1.04351185e-06,4.08338303e-07,-5.03332830e-07
5.50000000e-07,2.12321805e-05,4.75807690e-03,3.53639008e-03,1.85981763e-07,6.49581236e-06,-4.06211995e-03,-4.26026100e-03,1.79220032e-07,-1.32806888e-05,1.34051477e-05,-6.08201345e-09,-2.37191378e-07,1.21113120e-06,-1.27153677e-06
5.95000000e-07,2.17448995e-05,-3.48782148e-04,-6.32708753e-04,-3.40227524e-07,-3.80076340e-04,1.11408402e-03,2.26078550e-04,3.36129742e-07,-1.45449805e-05,1.38041324e-05,-4.46250260e-09,2.27257864e-09,1.02390768e-06,-6.16999423e-07
6.40000000e-07,-9.37904318e-05,-1.99662143e-04,-1.38295731e-03,-5.26729818e-08,6.38066965e-04,-2.51572726e-05,1.06355287e-03,3.34962383e-07,-1.51498227e-05,1.37246238e-05,-3.04406067e-09,9.84791773e-08,1.13105977e-06,-1.36258434e-07
6.85000000e-07,2.08118098e-04,3.65311979e-03,4.53223668e-03,1.06453330e-06,-6.07359903e-04,-3.35910077e-03,-4.42807843e-03,-3.95393663e-08,-1.41933480e-05,1.41156972e-05,-4.81009757e-09,-8.80260585e-08,1.03773125e-06,-8.27704906e-07
7.30000000e-07,-2.88522779e-04,-6.69409570e-03,-7.38762575e-03,-2.30320632e-06,1.23215629e-04,7.16691605e-03,7.08241576e-03,1.34107168e-07,-1.47910210e-05,1.29163623e-05,1.10306739e-09,4.35611253e-07,8.99154878e-07,4.04682314e-07
7.75000000e-07,7.05977879e-05,3.16654561e-02,2.89894801e-02,2.66440667e-06,2.89542149e-03,-3.47325130e-02,-2.88911068e-02,1.32094165e-07,-1.44966519e-05,1.25466608e-05,1.29404426e-09,4.34087131e-07,8.83245884e-07,4.99269891e-07
8.20000000e-07,2.70656483e-04,-1.28764680e-02,-1.06383705e-02,1.25765809e-06,-1.56710580e-03,1.38473854e-02,1.09626447e-02,-2.05407615e-07,-1.26756821e-05,1.32547394e-05,-2.71089038e-09,7.25831338e-08,4.58115574e-07,-9.01637458e-07
8.65000000e-07,1.82286360e-04,-1.92458569e-03,-5.45746742e-04,1.30262528e-06,-8.51575732e-04,2.33544180e-03,8.02877370e-04,2.36555288e-08,-1.32572149e-05,1.17976167e-05,1.26684244e-09,5.19758277e-07,5.27167667e-07,3.87749874e-07
9.10000000e-07,9.79262944e-05,-2.52894867e-02,-2.21853250e-02,2.71518690e-07,-2.72428216e-03,2.77311384e-02,2.23697577e-02,-2.47598144e-08,-1.24170353e-05,1.17583900e-05,1.63569228e-09,3.92879456e-07,3.28062949e-07,-3.91729827e-08
9.55000000e-07,9.33664065e-05,3.88405658e-03,4.51182578e-03,9.06849399e-07,-2.47052492e-04,-3.91807723e-03,-4.32502589e-03,9.40908600e-09,-1.23643223e-05,1.09449461e-05,-7.90825745e-10,4.27852418e-07,5.94285679e-07,3.88619902e-07
1.00000000e-06,-6.99719332e-08,-1.66714895e-04,3.26817257e-05,-8.66490991e-10,1.50569748e-06,6.71091814e-05,6.54891286e-05,-2.58051847e-09,-1.18047582e-05,1.05604681e-05,1.35918487e-09,4.57077757e-07,4.41758211e-07,3.46675423e-07
1.45000000e-06,1.11617729e-08,-8.05499993e-05,9.19056553e-05,1.44753293e-09,-4.48981192e-09,-4.78713729e-06,-6.57663821e-06,-2.22830575e-07,-9.29414100e-06,1.08031105e-05,-4.73615092e-08,-4.49968482e-06,6.63423321e-06,-3.37332580e-06
1.90000000e-06,-1.03383281e-08,-8.42233775e-05,5.29551935e-05,3.78571722e-10,6.94020461e-08,1.61178152e-05,1.50909265e-05,-1.60248473e-06,-3.86598230e-06,2.01750453e-07,9.62298547e-10,4.49153487e-06,-3.08497282e-06,3.85919223e-06
2.35000000e-06,1.09083664e-09,-5.75187727e-05,5.15539974e-05,8.71378689e-10,1.14064960e-07,3.19644795e-06,2.65230015e-06,-1.01043692e-05,8.35115675e-06,-1.94538825e-05,-2.01999920e-07,1.69530303e-05,-9.21509421e-06,1.36711588e-05
2.80000000e-06,-2.99057074e-10,-4.72495872e-05,3.96563696e-05,5.72404257e-10,-2.15440675e-09,4.06283518e-06,3.53226347e-06,-2.17015673e-05,2.75576077e-05,-6.38105900e-05,2.75631628e-07,5.43410260e-05,-4.21270526e-05,4.54649446e-05
3.25000000e-06,-2.58745466e-10,-3.76352031e-05,3.15707699e-05,4.63882727e-10,-3.79332018e-09,3.21914284e-06,2.84887859e-06,5.15432124e-07,2.58214029e-06,-9.30544570e-06,2.94259820e-08,1.82803500e-05,-2.45567986e-05,1.24548959e-05
3.70000000e-06,-1.25930849e-10,-2.99086434e-05,2.52159938e-05,3.60117615e-10,-2.33460149e-10,2.47326098e-06,2.21938792e-06,-6.42619705e-06,5.28067181e-06,-1.95105016e-05,1.57669063e-07,1.58838873e-05,-1.05379341e-05,1.51524046e-05
4.15000000e-06,1.46671294e-09,-2.12786718e-05,2.24100496e-05,6.75164788e-10,2.30089173e-07,-8.23750085e-07,-5.39858839e-07,2.25024910e-07,-1.70190186e-06,1.39158836e-06,1.19018546e-08,6.94154236e-07,-1.08825664e-06,4.67489141e-07
4.60000000e-06,1.61753828e-09,-1.61841270e-05,1.85458981e-05,6.57838825e-10,2.59925831e-07,-1.50913585e-06,-1.11483647e-06,2.52288468e-07,-1.32306165e-06,1.03305301e-06,1.31630972e-08,7.82146716e-07,-1.27115844e-06,5.13568798e-07
5.05000000e-06,-2.29070821e-09,-1.90390406e-05,9.24690054e-06,-4.27627007e-10,-4.03252644e-07,5.55123463e-06,4.64687639e-06,-3.65128081e-07,-1.32324342e-06,1.50063288e-06,-2.33970337e-08,-1.39733577e-06,2.44669306e-06,-8.38221636e-07
5.50000000e-06,-2.89319965e-09,-1.68074036e-05,5.86672481e-06,-5.83096875e-10,-4.49073838e-07,6.18289480e-06,5.21033413e-06,-6.06319460e-07,-7.75000970e-07,7.58939779e-07,-2.24405295e-08,-1.02572106e-06,2.21913086e-06,-5.48588619e-07
5.95000000e-06,-1.03201868e-08,-2.67219855e-05,-7.40493421e-06,-2.48171872e-09,-1.60989051e-06,1.95197800e-05,1.62298322e-05,-1.06073875e-06,-2.03102438e-06,3.06409014e-06,-8.87572713e-08,-5.70683381e-06,9.29853303e-06,-3.47526896e-06
6.40000000e-06,-5.02055692e-09,-1.58673431e-05,-9.91230520e-07,-1.15680782e-09,-7.54611434e-07,9.58829753e-06,8.03106487e-06,-9.17085465e-07,-4.73535138e-07,5.56062418e-07,-3.63757108e-08,-1.73090206e-06,3.55794006e-06,-9.56104103e-07
6.85000000e-06,1.05676101e-09,-3.84413722e-06,7.13029547e-06,4.53315149e-10,2.89400871e-07,-2.06433373e-06,-1.51273546e-06,-6.09399393e-07,1.06828285e-06,-2.04614535e-06,2.66210669e-08,2.68622226e-06,-2.97401652e-06,1.84843508e-06
7.30000000e-06,3.84289913e-09,1.14391522e-06,9.62884067e-06,9.51658163e-10,4.96051068e-07,-6.12501418e-06,-5.14858734e-06,7.86060573e-07,-5.87272183e-07,6.52652132e-07,2.35796187e-08,9.56391916e-07,-2.29244734e-06,4.61035282e-07
7.75000000e-06,1.75354844e-08,2.43034608e-05,2.89896530e-05,4.29120599e-09,2.48990291e-06,-3.03992361e-05,-2.54056073e-05,4.99250199e-06,-3.46012089e-06,4.36178707e-06,1.02851299e-07,2.49174621e-06,-9.38015729e-06,8.91391604e-07
