t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
1.00000000e-07,2.31479015e-07,5.48029988e-01,2.81525626e-01,3.15433494e-07,1.22086000e-06,1.03482774e-02,1.60094341e-01,1.84730977e-07,7.95547574e-01,9.36146679e-02,1.69864993e-06,1.06877509e-03,2.80856016e-03,1.06958469e-01
1.45000000e-07,4.01848808e-07,6.47071260e-01,2.16196036e-01,3.46918787e-07,1.40201568e-06,1.20491189e-02,1.24681434e-01,2.72743435e-07,8.30601263e-01,8.51085111e-02,3.30721855e-06,1.69155649e-03,3.61020954e-03,7.89848101e-02
1.90000000e-07,5.83966891e-07,7.11508541e-01,1.73125117e-01,3.44225606e-07,1.46438475e-06,1.29122313e-02,1.02451718e-01,3.00436681e-07,8.43524012e-01,7.73404914e-02,3.07086464e-06,1.61809691e-03,3.55829094e-03,7.39556681e-02
2.35000000e-07,7.55293253e-07,7.53842706e-01,1.44550158e-01,3.24751029e-07,1.45432367e-06,1.32447224e-02,8.83598789e-02,3.11184562e-07,8.50149469e-01,7.24047568e-02,2.69345198e-06,1.48608550e-03,3.42340437e-03,7.25332094e-02
2.80000000e-07,8.99682758e-07,7.81582923e-01,1.25696878e-01,3.01060125e-07,1.41108173e-06,1.32832668e-02,7.94343214e-02,3.16856351e-07,8.53800615e-01,6.96074153e-02,2.47399894e-06,1.40580132e-03,3.33675669e-03,7.18465506e-02
3.25000000e-07,1.01159181e-06,7.99605194e-01,1.13390243e-01,2.80991022e-07,1.36057935e-06,1.31933801e-02,7.38085297e-02,3.20147856e-07,8.55659043e-01,6.82506542e-02,2.38042966e-06,1.37077393e-03,3.29850466e-03,7.14182537e-02
3.70000000e-07,1.09189790e-06,8.11176831e-01,1.05464768e-01,2.65894865e-07,1.31693410e-06,1.30735079e-02,7.02822191e-02,3.21986315e-07,8.56358512e-01,6.78496601e-02,2.37018077e-06,1.36695838e-03,3.29525261e-03,7.11268545e-02
4.15000000e-07,1.14692052e-06,8.18532741e-01,1.00422178e-01,2.55928237e-07,1.28432756e-06,1.29689619e-02,6.80734321e-02,3.22866437e-07,8.56302000e-01,6.80724932e-02,2.41453955e-06,1.38375986e-03,3.31533179e-03,7.09236078e-02
4.60000000e-07,1.18334326e-06,8.23153943e-01,9.72596504e-02,2.50036792e-07,1.26231142e-06,1.28934963e-02,6.66902150e-02,3.23092578e-07,8.55753485e-01,6.86964101e-02,2.49504390e-06,1.41393679e-03,3.35021397e-03,7.07830662e-02
5.05000000e-07,1.20689197e-06,8.26016296e-01,9.53114013e-02,2.47079870e-07,1.24870806e-06,1.28460541e-02,6.58235468e-02,3.22870447e-07,8.54891100e-01,6.95705563e-02,2.59943207e-06,1.45254959e-03,3.39394096e-03,7.06888609e-02
5.50000000e-07,1.22174770e-06,8.27753530e-01,9.41420719e-02,2.46130398e-07,1.24124069e-06,1.28210671e-02,6.52806225e-02,3.22343781e-07,8.53835609e-01,7.05932140e-02,2.71936149e-06,1.49623623e-03,3.44247465e-03,7.06293541e-02
5.95000000e-07,1.23094060e-06,8.28770302e-01,9.34722839e-02,2.46511775e-07,1.23793121e-06,1.28116590e-02,6.49430398e-02,3.21614479e-07,8.52668496e-01,7.16965653e-02,2.84907137e-06,1.54272393e-03,3.49315663e-03,7.05958174e-02
6.40000000e-07,1.23657055e-06,8.29330593e-01,9.31195929e-02,2.47724571e-07,1.23735321e-06,1.28132257e-02,6.47338667e-02,3.20755885e-07,8.51445299e-01,7.28350888e-02,2.98449339e-06,1.59046437e-03,3.54425133e-03,7.05815219e-02
6.85000000e-07,1.23946359e-06,8.29601599e-01,9.29672067e-02,2.49467994e-07,1.23864038e-06,1.28217060e-02,6.46067612e-02,3.19820231e-07,8.50203067e-01,7.39790365e-02,3.12278474e-06,1.63842876e-03,3.59467474e-03,7.05812805e-02
7.30000000e-07,1.24152591e-06,8.29688460e-01,9.29420409e-02,2.51581204e-07,1.24089100e-06,1.28340755e-02,6.45326895e-02,3.18844148e-07,8.48966088e-01,7.51093786e-02,3.26196112e-06,1.68594408e-03,3.64377545e-03,7.05911629e-02
7.75000000e-07,1.24195337e-06,8.29663293e-01,9.29954717e-02,2.53773205e-07,1.24395877e-06,1.28507817e-02,6.44877147e-02,3.17853169e-07,8.47749942e-01,7.62143039e-02,3.40066118e-06,1.73258427e-03,3.69118872e-03,7.06081924e-02
8.20000000e-07,1.24182618e-06,8.29565474e-01,9.30972549e-02,2.56159691e-07,1.24742389e-06,1.28663753e-02,6.44681506e-02,3.16864551e-07,8.46564104e-01,7.72869772e-02,3.53796951e-06,1.77809383e-03,3.73673896e-03,7.06301612e-02
8.65000000e-07,1.24165927e-06,8.29427735e-01,9.32271321e-02,2.58566951e-07,1.25108353e-06,1.28844351e-02,6.44579469e-02,3.15889575e-07,8.45413941e-01,7.83238369e-02,3.67327974e-06,1.82232982e-03,3.78036756e-03,7.06554659e-02
9.10000000e-07,1.24120634e-06,8.29262214e-01,9.33749312e-02,2.60994689e-07,1.25483344e-06,1.29017475e-02,6.44583507e-02,3.14935445e-07,8.44302149e-01,7.93233993e-02,3.80620817e-06,1.86522488e-03,3.82208803e-03,7.06829481e-02
