t(s),N2,NH3,H2
2.80000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
3.25000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
3.70000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
4.15000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
4.60000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
5.05000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
5.50000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
5.95000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
6.40000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
6.85000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
7.30000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
7.75000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
8.20000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
8.65000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
9.10000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
9.55000000e-04,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
1.00000000e-03,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
1.45000000e-03,-3.54533065e-10,6.62614207e-10,-1.06175970e-09
1.90000000e-03,-4.34532291e-10,7.45914635e-10,-1.05430039e-09
2.35000000e-03,-4.34532291e-10,7.45914635e-10,-1.05430039e-09
2.80000000e-03,-4.34532291e-10,7.45914635e-10,-1.05430039e-09
3.25000000e-03,-4.34532291e-10,7.45914635e-10,-1.05430039e-09
3.70000000e-03,-4.34532291e-10,7.45914635e-10,-1.05430039e-09
4.15000000e-03,-4.34532291e-10,7.45914635e-10,-1.05430039e-09
4.60000000e-03,-4.34532291e-10,7.45914635e-10,-1.05430039e-09
5.05000000e-03,4.61353541e-10,-2.13910326e-10,-1.03108359e-09
5.50000000e-03,4.61353541e-10,-2.13910326e-10,-1.03108359e-09
5.95000000e-03,4.61353541e-10,-2.13910326e-10,-1.03108359e-09
6.40000000e-03,4.61353541e-10,-2.13910326e-10,-1.03108359e-09
6.85000000e-03,4.61353541e-10,-2.13910326e-10,-1.03108359e-09
7.30000000e-03,4.61353541e-10,-2.13910326e-10,-1.03108359e-09
7.75000000e-03,4.61353541e-10,-2.13910326e-10,-1.03108359e-09
8.20000000e-03,-4.94706987e-10,8.11585249e-10,-1.04498304e-09
8.65000000e-03,-4.94706987e-10,8.11585249e-10,-1.04498304e-09
9.10000000e-03,-4.94706987e-10,8.11585249e-10,-1.04498304e-09
9.55000000e-03,-4.94706987e-10,8.11585249e-10,-1.04498304e-09
1.00000000e-02,-4.94706987e-10,8.11585249e-10,-1.04498304e-09
1.45000000e-02,-4.94706987e-10,8.11585249e-10,-1.04498304e-09
1.90000000e-02,4.79075683e-10,-2.32650498e-10,-1.00974967e-09
2.35000000e-02,-7.40961765e-10,1.07706744e-09,-1.00760592e-09
2.80000000e-02,-2.46463642e-10,5.45524327e-10,-1.04351656e-09
3.25000000e-02,-2.46463642e-10,5.45524327e-10,-1.04351656e-09
3.70000000e-02,-7.92558362e-10,1.13307818e-09,-1.01689201e-09
4.15000000e-02,-2.28600591e-10,5.27723577e-10,-1.03873940e-09
4.60000000e-02,-2.28600591e-10,5.27723577e-10,-1.03873940e-09
5.05000000e-02,-8.76247586e-10,1.22409789e-09,-1.02108688e-09
5.50000000e-02,1.01730329e-11,2.71917988e-10,-1.04316982e-09
5.95000000e-02,1.01730329e-11,2.71917988e-10,-1.04316982e-09
6.40000000e-02,-1.32260042e-09,1.70511066e-09,-1.02214615e-09
6.85000000e-02,-6.68624704e-11,3.55350208e-10,-1.04997500e-09
7.30000000e-02,-9.01335023e-10,1.25372098e-09,-1.06960318e-09
7.75000000e-02,-9.01335023e-10,1.25372098e-09,-1.06960318e-09
8.20000000e-02,-4.19343676e-10,7.35139032e-10,-1.05581202e-09
8.65000000e-02,-1.39171373e-09,1.78168192e-09,-1.04024367e-09
9.10000000e-02,-1.39171373e-09,1.78168192e-09,-1.04024367e-09
9.55000000e-02,-1.12512183e-10,4.08816870e-10,-1.02501495e-09
1.00000000e-01,-1.12512183e-10,4.08816870e-10,-1.02501495e-09
1.45000000e-01,-4.61265849e-10,6.88613018e-10,-9.75223484e-10
1.90000000e-01,-8.44683865e-10,1.16590649e-09,-1.07482572e-09
2.35000000e-01,-7.64450304e-10,1.10167705e-09,-1.12014020e-09
2.80000000e-01,-6.78388891e-10,1.01610097e-09,-1.12500194e-09
3.25000000e-01,-3.62922602e-10,7.13013374e-10,-1.05520048e-09
3.70000000e-01,-6.61787274e-09,1.70588838e-09,-1.48751249e-09
4.15000000e-01,-3.96419428e-10,7.31534440e-10,-1.07867866e-09
4.60000000e-01,-1.41217689e-08,1.54262416e-08,-3.60890472e-09
5.05000000e-01,-3.96259420e-10,7.41138749e-10,-1.10460708e-09
5.50000000e-01,-1.16645610e-08,1.27932326e-08,-4.42140824e-09
5.95000000e-01,-3.50228342e-10,7.01659794e-10,-1.20160107e-09
6.40000000e-01,-5.60208830e-10,8.99639177e-10,-1.10558785e-09
6.85000000e-01,-5.78072888e-10,8.93166633e-10,-1.08336600e-09
7.30000000e-01,-1.22372500e-09,1.49171133e-09,-1.18643355e-09
7.75000000e-01,-3.46159196e-10,6.96469063e-10,-1.07508295e-09
8.20000000e-01,-7.32311046e-10,1.12023909e-09,-1.33578315e-09
8.65000000e-01,-8.68936808e-10,1.21747101e-09,-1.29260647e-09
9.10000000e-01,-3.79420078e-10,7.29267950e-10,-1.08298844e-09
9.55000000e-01,-3.79420078e-10,7.29267950e-10,-1.08298844e-09
1.00000000e+00,-5.42572559e-09,6.11241860e-09,-4.74788533e-09
1.45000000e+00,-3.81601823e-10,7.38375156e-10,-1.09551557e-09
1.90000000e+00,-6.22465212e-10,9.43630933e-10,-1.29410305e-09
2.35000000e+00,-3.52618820e-10,7.15866749e-10,-1.06488155e-09
2.80000000e+00,-4.75767452e-10,7.99818208e-10,-1.23666966e-09
3.25000000e+00,-3.67656066e-10,7.32590737e-10,-1.10077572e-09
3.70000000e+00,-3.62839996e-10,7.19275339e-10,-1.11936817e-09
4.00000000e+00,-3.66323769e-10,7.26890652e-10,-1.12201713e-09
